TIME	CPU	WCPU	IO	MEM
20181103-145124	  9	  0	         0	44.24
20181103-145129	  0	  0	        10	11.55
20181103-145134	  1	  0	         2	11.55
20181103-145139	  0	  0	         9	11.56
20181103-145144	  0	  0	         3	11.55
20181103-145149	  0	  0	         9	11.56
20181103-145154	  0	  0	         0	11.55
20181103-145159	  0	  0	         8	11.55
20181103-145204	  0	  0	         2	11.56
20181103-145209	  1	  0	         8	11.56
20181103-145214	  0	  0	        17	11.56
20181103-145219	  0	  0	        12	11.56
20181103-145224	  0	  0	         0	11.61
20181103-145229	  0	  0	        10	11.62
20181103-145234	  0	  0	         3	11.62
20181103-145239	  0	  0	        10	11.61
20181103-145244	  0	  0	         2	11.61
20181103-145249	  0	  0	         8	11.61
20181103-145254	  0	  0	         0	11.62
20181103-145259	  0	  0	         8	11.62
20181103-145304	  0	  0	         2	11.62
20181103-145309	  1	  0	         8	11.62
20181103-145314	  0	  0	         9	11.62
20181103-145319	  0	  0	         9	11.62
20181103-145324	  0	  0	         0	11.62
20181103-145329	  0	  0	         8	11.61
20181103-145334	  0	  0	         2	11.61
20181103-145339	  0	  0	         8	11.61
20181103-145344	  0	  0	         3	11.62
20181103-145349	  0	  0	         8	11.62
20181103-145354	  0	  0	         0	11.62
20181103-145359	  0	  0	         8	11.61
20181103-145404	  0	  0	         3	11.61
20181103-145409	  1	  0	         8	11.61
20181103-145414	  0	  0	        10	11.62
20181103-145419	  0	  0	         8	11.62
20181103-145424	  0	  0	         0	11.62
20181103-145429	  0	  0	         8	11.62
20181103-145434	  0	  0	         2	11.62
20181103-145439	  0	  0	         8	11.62
20181103-145444	  0	  0	         2	11.61
20181103-145449	  0	  0	         9	11.62
20181103-145454	  0	  0	         0	11.62
20181103-145459	  0	  0	         8	11.62
20181103-145504	  0	  0	         2	11.61
20181103-145509	  1	  0	         8	11.62
20181103-145514	  0	  0	        10	11.61
20181103-145519	  0	  0	         9	11.62
20181103-145524	  0	  0	         0	11.61
20181103-145529	  0	  0	         9	11.61
20181103-145534	  0	  0	         2	11.61
20181103-145539	  0	  0	         8	11.61
20181103-145544	  0	  0	         3	11.61
20181103-145549	  0	  0	         8	11.61
20181103-145554	  0	  0	         0	11.62
20181103-145559	  0	  0	         8	11.61
20181103-145604	  0	  0	         4	11.62
20181103-145609	  0	  0	         8	11.62
20181103-145614	  0	  0	        13	11.61
20181103-145619	  0	  0	         8	11.61
20181103-145624	  0	  0	         0	11.61
20181103-145629	  0	  0	         8	11.61
20181103-145634	  0	  0	         2	11.61
20181103-145639	  0	  0	         8	11.62
20181103-145644	  0	  0	         3	11.61
20181103-145649	  0	  0	         8	11.61
20181103-145654	  0	  0	         0	11.61
20181103-145659	  0	  0	         8	11.61
20181103-145704	  0	  0	         4	11.62
20181103-145709	  1	  0	         9	11.62
20181103-145714	  0	  0	        12	11.61
20181103-145719	  0	  0	         8	11.62
20181103-145724	  0	  0	         0	11.62
20181103-145729	  0	  0	         8	11.62
20181103-145734	  0	  0	         4	11.62
20181103-145739	  0	  0	         8	11.62
20181103-145744	  0	  0	         2	11.62
20181103-145749	  0	  0	         8	11.62
20181103-145754	  0	  0	         0	11.62
20181103-145759	  0	  0	         8	11.62
20181103-145804	  0	  0	         2	11.62
20181103-145809	  0	  0	         8	11.62
20181103-145814	  0	  0	         7	11.62
20181103-145819	  0	  0	         8	11.62
20181103-145824	  0	  0	         0	11.62
20181103-145829	  0	  0	         8	11.62
20181103-145834	  0	  0	         2	11.61
20181103-145839	  0	  0	         8	11.61
20181103-145844	  0	  0	         3	11.61
20181103-145849	  0	  0	         8	11.62
20181103-145854	  0	  0	         0	11.62
20181103-145859	  0	  0	         8	11.62
20181103-145904	  0	  0	         2	11.62
20181103-145909	  1	  0	         8	11.62
20181103-145914	  0	  0	         9	11.62
20181103-145919	  0	  0	         9	11.61
20181103-145924	  0	  0	         0	11.62
20181103-145929	  0	  0	        10	11.61
20181103-145934	  0	  0	         4	11.61
20181103-145939	  0	  0	         8	11.62
20181103-145944	  0	  0	         2	11.62
20181103-145949	  0	  0	         8	11.62
20181103-145954	  0	  0	         0	11.62
20181103-145959	  0	  0	         8	11.61
20181103-150004	  0	  0	         2	11.61
20181103-150009	  1	  0	         9	11.61
