TIME	CPU	WCPU	IO	MEM
20181103-145549	  2	  0	         7	56.36
20181103-145554	  1	  0	         7	56.37
20181103-145559	  1	  0	         7	56.37
20181103-145604	  1	  0	         5	56.37
20181103-145609	  1	  0	         9	56.37
20181103-145614	  1	  0	        10	56.37
20181103-145619	  1	  0	        21	56.35
20181103-145624	  8	  0	        13	56.33
20181103-145629	  0	  0	         4	56.32
20181103-145634	  1	  0	         8	56.33
20181103-145639	  1	  0	        12	56.32
20181103-145644	  0	  0	        18	56.32
20181103-145649	  2	  0	         7	56.33
20181103-145654	  1	  0	        10	56.33
20181103-145659	  0	  0	         7	56.33
20181103-145704	  0	  0	         5	56.33
20181103-145709	  0	  0	         9	56.33
20181103-145714	  1	  0	        20	56.33
20181103-145719	  1	  0	        28	56.32
20181103-145724	  0	  0	         8	56.33
20181103-145729	  1	  0	         7	56.33
20181103-145734	  1	  0	         5	56.33
20181103-145739	  1	  0	         6	56.33
20181103-145744	  1	  0	        13	56.32
20181103-145749	  2	  0	         7	56.32
20181103-145754	  0	  0	        10	56.33
20181103-145759	  0	  0	         6	56.32
20181103-145804	  1	  0	         5	56.32
20181103-145809	  0	  0	         7	56.33
20181103-145814	  1	  0	        10	56.36
20181103-145819	  1	  0	        22	56.37
20181103-145824	  1	  0	         8	56.36
20181103-145829	  0	  0	         9	56.35
20181103-145834	  0	  0	         5	56.36
20181103-145839	  0	  0	         7	56.36
20181103-145844	  0	  0	        10	56.35
20181103-145849	  2	  0	         7	56.34
20181103-145854	  1	  0	        11	56.35
20181103-145859	  0	  0	         5	56.35
20181103-145904	  0	  0	         6	56.35
20181103-145909	  0	  0	         7	56.35
20181103-145914	  1	  0	        16	56.35
20181103-145919	  1	  0	        22	56.35
20181103-145924	  1	  0	         7	56.35
20181103-145929	  0	  0	         8	56.35
20181103-145934	  1	  0	         5	56.35
20181103-145939	  1	  0	         9	56.34
20181103-145944	  1	  0	        13	56.36
20181103-145949	  2	  0	        13	56.36
20181103-145954	  1	  0	        12	56.35
20181103-145959	  1	  0	         5	56.35
20181103-150004	  0	  0	         5	56.36
20181103-150009	  0	  0	         7	56.35
20181103-150014	  1	  0	        21	56.35
